order_id,order_date,region,city,product_name,category,quantity,unit_price,total_revenue,customer_id,sales_channel
UK-2026-102262,2026-04-07,North,Gurugram,Bluetooth Speaker Mini,Electronics,2,1490,2980,CUST-44169,Website
UK-2026-104284,2026-06-03,South,Kochi,Gym Gloves,Sports,4,482,1928,CUST-48680,Marketplace
UK-2026-102000,2026-03-09,South,Kochi,Denim Jacket,Fashion,1,2271,2271,CUST-20352,App
UK-2026-101564,2026-03-21,South,Bengaluru,Ultrabook Air 14,Electronics,1,30092,30092,CUST-14430,App
UK-2026-102928,2026-04-17,Central,Indore,Wireless Earbuds Pro,Electronics,1,3037,3037,CUST-87995,Website
UK-2026-104441,2026-06-28,North,Chandigarh,Bluetooth Speaker Mini,Electronics,1,1460,1460,CUST-34985,Marketplace
UK-2026-100424,2026-01-25,South,Kochi,Running Sneakers,Fashion,1,2835,2835,CUST-80020,App
UK-2026-104897,2026-06-21,North,Delhi,Formal Shirt,Fashion,2,1103,2206,CUST-14663,App
UK-2026-103623,2026-05-20,South,Hyderabad,Cricket Bat English Willow,Sports,1,8846,8846,CUST-93354,Marketplace
UK-2026-104303,2026-06-24,East,Bhubaneswar,Cotton Bedsheet Set,Home & Kitchen,3,1422,4266,CUST-54687,App
UK-2026-100799,2026-02-16,South,Kochi,Makeup Brush Set,Beauty,3,1355,4065,CUST-28003,Website
UK-2026-104266,2026-06-07,Central,Nagpur,Mirrorless Camera Lite,Electronics,1,28982,28982,CUST-89198,App
UK-2026-103481,2026-05-29,South,Kochi,Denim Jacket,Fashion,1,2155,2155,CUST-27471,App
UK-2026-101574,2026-03-26,Central,Bhopal,Badminton Racket Set,Sports,1,2523,2523,CUST-43991,App
UK-2026-100268,2026-01-27,South,Hyderabad,Bluetooth Speaker Mini,Electronics,2,1467,2934,CUST-64377,App
UK-2026-101493,2026-03-16,North,Delhi,Smart Watch X2,Electronics,2,4475,8950,CUST-68954,Marketplace
UK-2026-102493,2026-04-06,East,Bhubaneswar,Mirrorless Camera Lite,Electronics,2,27832,55664,CUST-34592,Website
UK-2026-100271,2026-01-28,South,Kochi,Gym Gloves,Sports,1,475,475,CUST-46229,App
UK-2026-103925,2026-05-02,Central,Bhopal,Robot Vacuum R7,Home & Kitchen,3,19648,58944,CUST-94298,App
UK-2026-104374,2026-06-22,East,Patna,Robot Vacuum R7,Home & Kitchen,3,19929,59787,CUST-15485,Marketplace
UK-2026-104747,2026-06-13,West,Mumbai,Noise-Cancelling Headphones,Electronics,1,8604,8604,CUST-40128,App
UK-2026-104323,2026-06-21,East,Kolkata,Slim Fit Jeans   ,Fashion,1,1619,1619,CUST-48709,App
UK-2026-104783,2026-06-02,East,Patna,Beard Grooming Kit,Beauty,1,1039,1039,CUST-95592,App
UK-2026-103807,2026-05-22,North,Chandigarh,Noise-Cancelling Headphones,Electronics,1,8655,8655,CUST-29874,Website
UK-2026-100064,2026-01-02,West,Pune,Noise-Cancelling Headphones,Electronics,1,8964,8964,CUST-51120,Marketplace
UK-2026-104333,2026-06-19,North,Gurugram,Vitamin C Serum,Beauty,1,674,674,CUST-85914,App
UK-2026-101127,2026-02-19,Central,Nagpur,Face Wash Combo,Beauty,3,439,1317,CUST-52618,App
UK-2026-101606,2026-03-06,South,Kochi,Ultrabook Air 14,Electronics,2,28735,57470,CUST-76313,App
UK-2026-100491,2026-01-03,South,Kochi,Dinner Set 24pc,Home & Kitchen,1,2621,2621,CUST-41965,App
UK-2026-102376,2026-04-10,North,Delhi,Denim Jacket,Fashion,1,2307,2307,CUST-28329,App
UK-2026-101423,2026-02-21,South,Chennai,Noise-Cancelling Headphones,Electronics,1,8956,8956,CUST-61936,Website
UK-2026-100761,2026-02-14,East,Bhubaneswar,Mixer Grinder 750W,Home & Kitchen,4,3329,13316,CUST-89707,App
UK-2026-102036,2026-03-31,South,Chennai,Electric Kettle 1.5L,Home & Kitchen,1,1098,1098,CUST-83901,Website
UK-2026-101202,2026-02-07,West,Pune,Badminton Racket Set,Sports,1,2528,2528,CUST-27321,App
